"ASV_ID","Leaf_16S_F1_R2","Leaf_16S_F10_R10","Leaf_16S_F10_R9","Leaf_16S_F11_R1","Leaf_16S_F11_R2","Leaf_16S_F11_R3","Leaf_16S_F13_R20","Leaf_16S_F13_R21","Leaf_16S_F14_R18","Leaf_16S_F14_R6","Leaf_16S_F15_R4","Leaf_16S_F15_R5","Leaf_16S_F15_R6","Leaf_16S_F15_R7","Leaf_16S_F15_R8","Leaf_16S_F16_R1","Leaf_16S_F16_R2","Leaf_16S_F16_R3","Leaf_16S_F16_R4","Leaf_16S_F16_R5","Leaf_16S_F16_R6","Leaf_16S_F16_R7","Leaf_16S_F16_R8","Leaf_16S_F17_R1","Leaf_16S_F17_R2","Leaf_16S_F17_R20","Leaf_16S_F17_R3","Leaf_16S_F17_R4","Leaf_16S_F17_R5","Leaf_16S_F17_R6","Leaf_16S_F17_R7","Leaf_16S_F17_R8","Leaf_16S_F18_R1","Leaf_16S_F18_R2","Leaf_16S_F18_R3","Leaf_16S_F18_R4","Leaf_16S_F18_R5","Leaf_16S_F18_R6","Leaf_16S_F18_R7","Leaf_16S_F18_R8","Leaf_16S_F19_R1","Leaf_16S_F19_R2","Leaf_16S_F19_R3","Leaf_16S_F19_R4","Leaf_16S_F19_R5","Leaf_16S_F19_R6","Leaf_16S_F19_R7","Leaf_16S_F19_R8","Leaf_16S_F2_R11","Leaf_16S_F20_R1","Leaf_16S_F20_R2","Leaf_16S_F20_R22","Leaf_16S_F20_R3","Leaf_16S_F20_R4","Leaf_16S_F20_R5","Leaf_16S_F20_R6","Leaf_16S_F20_R7","Leaf_16S_F20_R8","Leaf_16S_F21_R1","Leaf_16S_F21_R19","Leaf_16S_F21_R2","Leaf_16S_F21_R20","Leaf_16S_F21_R21","Leaf_16S_F21_R3","Leaf_16S_F21_R4","Leaf_16S_F21_R5","Leaf_16S_F24_R19","Leaf_16S_F24_R20","Leaf_16S_F24_R21","Leaf_16S_F3_R2","Leaf_16S_F3_R5","Leaf_16S_F3_R8","Leaf_16S_F3_R9","Leaf_16S_F5_R15","Leaf_16S_F5_R16","Leaf_16S_F6_R13","Leaf_16S_F6_R14","Leaf_16S_F6_R15","Leaf_16S_F6_R5","Leaf_16S_F6_R6","Leaf_16S_F6_R7","Leaf_16S_F6_R8","Leaf_16S_F6_R9","Leaf_16S_F7_R1","Leaf_16S_F7_R2","Leaf_16S_F7_R7","Leaf_16S_F7_R8","Leaf_16S_F8_R1","Leaf_16S_F9_R12","Leaf_16S_F9_R13","Soil_16S_F10_R12","Soil_16S_F10_R13","Soil_16S_F11_R3","Soil_16S_F11_R4","Soil_16S_F11_R5","Soil_16S_F13_R22","Soil_16S_F13_R23","Soil_16S_F14_R20","Soil_16S_F14_R8","Soil_16S_F15_R3","Soil_16S_F15_R4","Soil_16S_F15_R5","Soil_16S_F15_R6","Soil_16S_F15_R7","Soil_16S_F15_R8","Soil_16S_F16_R1","Soil_16S_F16_R2","Soil_16S_F16_R3","Soil_16S_F16_R4","Soil_16S_F16_R5","Soil_16S_F16_R6","Soil_16S_F16_R7","Soil_16S_F16_R8","Soil_16S_F17_R1","Soil_16S_F17_R2","Soil_16S_F17_R23","Soil_16S_F17_R3","Soil_16S_F17_R4","Soil_16S_F17_R5","Soil_16S_F17_R6","Soil_16S_F17_R7","Soil_16S_F17_R8","Soil_16S_F18_R1","Soil_16S_F18_R2","Soil_16S_F18_R3","Soil_16S_F18_R4","Soil_16S_F18_R5","Soil_16S_F18_R6","Soil_16S_F18_R7","Soil_16S_F18_R8","Soil_16S_F19_R1","Soil_16S_F19_R2","Soil_16S_F19_R3","Soil_16S_F19_R4","Soil_16S_F19_R5","Soil_16S_F19_R6","Soil_16S_F19_R7","Soil_16S_F19_R8","Soil_16S_F2_R13","Soil_16S_F20_R1","Soil_16S_F20_R2","Soil_16S_F20_R24","Soil_16S_F20_R3","Soil_16S_F20_R4","Soil_16S_F20_R5","Soil_16S_F20_R6","Soil_16S_F20_R7","Soil_16S_F20_R8","Soil_16S_F21_R1","Soil_16S_F21_R2","Soil_16S_F21_R21","Soil_16S_F21_R22","Soil_16S_F21_R23","Soil_16S_F21_R3","Soil_16S_F21_R4","Soil_16S_F24_R21","Soil_16S_F24_R22","Soil_16S_F24_R23","Soil_16S_F3_R1","Soil_16S_F3_R11","Soil_16S_F3_R2","Soil_16S_F4_R1","Soil_16S_F4_R2","Soil_16S_F6_R10","Soil_16S_F6_R11","Soil_16S_F6_R15","Soil_16S_F6_R16","Soil_16S_F6_R6","Soil_16S_F6_R7","Soil_16S_F6_R8","Soil_16S_F6_R9","Soil_16S_F7_R1","Soil_16S_F7_R2","Soil_16S_F7_R3","Soil_16S_F7_R8","Soil_16S_F7_R9","Soil_16S_F8_R1","Soil_16S_F8_R2","Soil_16S_F9_R14","Soil_16S_F9_R15","Stem_16S_F10_R14","Stem_16S_F10_R9","Stem_16S_F11_R3","Stem_16S_F11_R4","Stem_16S_F11_R5","Stem_16S_F13_R1","Stem_16S_F13_R2","Stem_16S_F14_R17","Stem_16S_F14_R18","Stem_16S_F14_R23","Stem_16S_F15_R3","Stem_16S_F15_R6","Stem_16S_F15_R7","Stem_16S_F15_R8","Stem_16S_F16_R1","Stem_16S_F16_R2","Stem_16S_F16_R4","Stem_16S_F16_R5","Stem_16S_F16_R6","Stem_16S_F16_R7","Stem_16S_F16_R8","Stem_16S_F17_R1","Stem_16S_F17_R2","Stem_16S_F17_R3","Stem_16S_F17_R4","Stem_16S_F17_R5","Stem_16S_F17_R6","Stem_16S_F17_R7","Stem_16S_F17_R8","Stem_16S_F18_R1","Stem_16S_F18_R17","Stem_16S_F18_R2","Stem_16S_F18_R3","Stem_16S_F18_R4","Stem_16S_F18_R5","Stem_16S_F18_R6","Stem_16S_F18_R7","Stem_16S_F18_R8","Stem_16S_F19_R1","Stem_16S_F19_R2","Stem_16S_F19_R3","Stem_16S_F19_R4","Stem_16S_F19_R5","Stem_16S_F19_R6","Stem_16S_F19_R7","Stem_16S_F19_R8","Stem_16S_F2_R14","Stem_16S_F20_R2","Stem_16S_F20_R3","Stem_16S_F20_R4","Stem_16S_F20_R5","Stem_16S_F20_R6","Stem_16S_F20_R7","Stem_16S_F20_R8","Stem_16S_F21_R1","Stem_16S_F21_R19","Stem_16S_F21_R2","Stem_16S_F21_R24","Stem_16S_F21_R3","Stem_16S_F21_R4","Stem_16S_F21_R5","Stem_16S_F21_R6","Stem_16S_F21_R7","Stem_16S_F21_R8","Stem_16S_F22_R1","Stem_16S_F22_R17","Stem_16S_F22_R18","Stem_16S_F24_R24","Stem_16S_F3_R12","Stem_16S_F3_R2","Stem_16S_F3_R3","Stem_16S_F4_R1","Stem_16S_F4_R2","Stem_16S_F6_R11","Stem_16S_F6_R12","Stem_16S_F6_R13","Stem_16S_F6_R6","Stem_16S_F6_R7","Stem_16S_F6_R8","Stem_16S_F7_R1","Stem_16S_F7_R10","Stem_16S_F7_R11","Stem_16S_F7_R2","Stem_16S_F7_R3","Stem_16S_F7_R8","Stem_16S_F7_R9","Stem_16S_F8_R1","Stem_16S_F8_R2"
"ASV_1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,15,65,74,85,177,76,29,69,0,0,7,9,8,6,34,26,14,0,1,1,1,0,4,0,0,1,2,0,1,0,0,2,0,0,1,2,0,0,0,2,1,1,280,81,100,104,95,247,187,87,4,24,4,81,0,6,1,10,4,5,4,7,2281,4,12453,27,25,47,45,1,7,52,63,1,6,20,15,5195,20,10,13,7,37,1
"ASV_2",751,87,213,1130,321,717,290,357,1400,632,71,34,333,920,1907,1060,260,160,841,1297,881,252,903,8883,187,1025,674,110,691,273,1200,46,739,131,525,353,395,1710,195,163,90,31,106,238,343,323,498,443,156,662,167,34,277,1215,820,284,616,135,83,875,535,615,228,109,133,233,1865,376,65,248,57,1319,32,69,270,23,272,1198,355,131,139,89,28,352,57,16,758,351,206,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,31,120,4,49,2,0,13,48,46,44,0,0,0,0,0,1,2,0,0,0,0,0,1,0,12,0,0,4,1,40,0,0,56,13,2,5,98,23,31,0,28,2,0,0,0,0,0,0,0,0,1,3,76,0,8,0,2,1,34,29,24,0,24,18,0,2,0,0,0,18,3,10,6,44,0,6,0,3,32,1,0,1,1,65,75,86
"ASV_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,24,0,1,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922,1090,505,261,465,32,41,488,577,41,383,63,847,27,138,412,577,335,156,73,2145,252,329,211,386,678,181,637,701,446,726,1145,878,869,1136,766,568,1356,629,975,238,172,60,267,66,554,661,724,20,166,880,177,435,186,494,1108,700,1040,440,1269,238,87,114,29,280,206,2,223,9,800,15,397,720,51,766,62,1385,152,312,559,209,414,28,100,711,1116,671,435,45,792,2,0,5,0,0,51,1,0,61,1,17,0,2,0,0,1,7,0,0,0,0,7,45,5,107,5,48,8,550,134,1,0,3,2,29,6,3,45,13,2,4,0,0,0,0,0,0,0,81,0,24,2,1,0,0,0,0,1,1,0,0,7,0,0,0,1,0,0,4,8,346,0,0,18,1,84,1,8,0,0,0,0,0,0,0,0,28,7
"ASV_4",0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,97,120,134,73,131,205,220,252,592,88,262,147,274,371,227,181,141,350,1307,217,195,48,124,80,113,174,77,105,251,252,91,182,108,119,137,169,157,131,92,174,207,329,67,86,94,105,77,186,329,204,324,85,36,94,71,102,63,159,160,57,34,55,41,176,110,98,26,331,120,254,151,173,116,140,209,124,38,123,111,132,261,253,117,72,87,351,454,240,246,0,1,2,3,1,57,0,8,10,7,2,1,4,0,0,0,6,0,10,0,0,15,3,0,3,0,0,1,250,79,1,24,2,1,0,1,2,2,0,1,0,1,0,1,39,0,5,0,31,0,8,2,140,6,48,8,50,0,0,0,1,1,0,4,0,0,0,3,0,0,61,1,1,0,1,40,0,16,2,0,1,0,0,0,2,0,6,2
"ASV_5",363,4,0,563,91,131,155,38,231,41,263,11,253,234,197,949,232,40,31,111,407,18,366,136,9,51,240,5,22,13,39,2,118,71,27,63,193,51,17,52,159,11,520,42,812,795,162,245,66,19,84,12,49,37,12,21,63,66,45,251,49,80,63,54,64,186,396,274,3,65,15,15,3,34,1311,3,336,26,250,49,5,187,326,122,4,23,29,149,236,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,7,1,0,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_6",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,27,74,37,48,25,45,74,116,42,17,17,54,44,30,16,19,19,20,62,24,7,13,21,16,70,20,8,18,36,21,12,48,38,31,34,87,36,52,16,51,36,99,16,28,28,25,17,19,299,44,11,12,8,37,18,19,16,18,84,24,6,12,21,22,6,5,2,91,60,70,79,79,19,29,74,33,11,22,20,30,12,77,85,25,24,157,154,44,47,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,15,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,4,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,94,0,0,0,2,0,0,1,1,3,0,0,0
"ASV_7",628,15,27,356,135,82,20,114,943,112,5,5,7,166,116,221,19,9,30,470,375,9,68,209,22,188,130,29,317,191,544,2,703,564,131,104,106,513,185,19,29,8,2,154,340,14,10,221,26,328,68,11,15,278,472,22,23,205,56,815,477,443,48,93,54,75,541,39,4,4,29,506,1,0,48,104,34,434,120,116,3,0,17,63,2,4,63,143,24,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,3,2,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,165,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,1,6,13,0
"ASV_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,12,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,16,33,35,18,522,253,38,54,2317,192,277,340,343,1495,238,416,288,984,1394,371,924,251,113,130,15,78,26,31,34,60,31,37,30,43,23,22,39,53,418,128,1366,260,188,345,137,240,74,607,139,40,288,33,24,32,55,96,31,3,7,0,5,1,3,13,469,194,242,707,62,2276,34,33,521,184,49,43,80,172,163,139,571,598,2211,72,36,113,97,451,1827,0,0,0,0,0,83,2,20,83,0,0,0,0,0,127,0,48,12,0,0,0,0,123,1,1,1,134,0,0,15,0,16,0,0,1,0,0,0,0,0,0,0,0,0,100,0,42,163,19,0,0,0,0,1,0,18,0,0,0,2,0,0,0,2,0,0,0,6,0,52,0,1,0,29,22,285,1,7,0,3,1,0,1,0,1,1,0,0
"ASV_9",323,2,27,398,361,95,21,13,337,101,10,44,278,371,8,57,25,22,21,496,253,186,11,98,12,93,31,79,237,208,1275,8,634,376,98,82,78,405,1009,53,64,51,19,76,91,160,17,199,3,976,62,5,337,86,279,76,157,138,64,387,364,76,45,107,135,188,289,41,11,16,267,623,109,2,36,442,3,225,35,31,7,1,5,5,2,6,42,94,54,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,11,0,2,161,1,11,139,7,5,8,5,4,1,0,44,2,4,1,0,1,2,6,1,1,4,4,75,47,0,0,22,1,7,19,3,1,5,22,4,0,11,88,1,2,25,48,64,1,1,25,2,17,136,3,0,3,1,21,1,4,15,12,0,0,1,3,4,1,105,28,0,2,34,362,2,7,2,1,0,0,0,2,15,14,127,3
"ASV_10",0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
