"ASV_ID","ASV_sha","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1","3b467c34aba93fc3692c78de03a97bc7","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Brenneria",NA
"ASV_2","90f44084459949dd4fd965e1fc355026","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Lichenihabitans","Lichenihabitans minor"
"ASV_3","8abdf967e5b46a4af2dc34923219a392","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","UBA10450",NA,NA
"ASV_4","6472eb8b1e09f892aca2f23182962903","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA
"ASV_5","31c04e45ba530ebcc8218e459b94504e","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","JAJXVM01","JAJXVM01 sp023169965"
"ASV_6","0fed5d744111e22cfa576faec3808847","Bacteria","Actinomycetota","Actinomycetia","Streptosporangiales","Streptosporangiaceae","Trebonia","Trebonia kvetii"
"ASV_7","40abd57801112abb5e4bc0a49654a73b","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA
"ASV_8","ad4cba5280fb47cbebea01e7031af61c","Bacteria","Bacillota","Bacilli","Bacillales","DSM-18226","Bacillus_BD",NA
"ASV_9","9ac3bb1d7dedb08a012692a6f536b5af","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_10","bf1969c0e412e57637a9ae7a3b638492","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae_B","Variovorax",NA
"ASV_11","ca6c2b3b469c08212142e8821c65882a","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Telluria","Telluria aromaticivorans"
"ASV_12","26005dfb7ad2e8cdbb139846af329663","Bacteria","Bacillota","Bacilli","Bacillales","DSM-18226","Bacillus_BD",NA
"ASV_13","289751964e6101e1be5ce28bc3e67263","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae_C","Paenalcaligenes","Paenalcaligenes niemegkensis"
"ASV_14","ef082017c0bfefb9dcf9ac41e878ea1c","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA
