"ASV_ID","Leaf_ITS_F1_R2","Leaf_ITS_F10_R10","Leaf_ITS_F10_R9","Leaf_ITS_F11_R1","Leaf_ITS_F11_R2","Leaf_ITS_F11_R3","Leaf_ITS_F13_R20","Leaf_ITS_F13_R21","Leaf_ITS_F14_R18","Leaf_ITS_F14_R6","Leaf_ITS_F15_R4","Leaf_ITS_F15_R5","Leaf_ITS_F15_R6","Leaf_ITS_F15_R7","Leaf_ITS_F15_R8","Leaf_ITS_F16_R1","Leaf_ITS_F16_R2","Leaf_ITS_F16_R3","Leaf_ITS_F16_R4","Leaf_ITS_F16_R5","Leaf_ITS_F16_R6","Leaf_ITS_F16_R7","Leaf_ITS_F16_R8","Leaf_ITS_F17_R1","Leaf_ITS_F17_R2","Leaf_ITS_F17_R20","Leaf_ITS_F17_R3","Leaf_ITS_F17_R4","Leaf_ITS_F17_R5","Leaf_ITS_F17_R6","Leaf_ITS_F17_R7","Leaf_ITS_F17_R8","Leaf_ITS_F18_R1","Leaf_ITS_F18_R2","Leaf_ITS_F18_R3","Leaf_ITS_F18_R4","Leaf_ITS_F18_R5","Leaf_ITS_F18_R6","Leaf_ITS_F18_R7","Leaf_ITS_F18_R8","Leaf_ITS_F19_R1","Leaf_ITS_F19_R2","Leaf_ITS_F19_R3","Leaf_ITS_F19_R4","Leaf_ITS_F19_R5","Leaf_ITS_F19_R6","Leaf_ITS_F19_R7","Leaf_ITS_F19_R8","Leaf_ITS_F2_R11","Leaf_ITS_F20_R1","Leaf_ITS_F20_R2","Leaf_ITS_F20_R22","Leaf_ITS_F20_R3","Leaf_ITS_F20_R4","Leaf_ITS_F20_R5","Leaf_ITS_F20_R6","Leaf_ITS_F20_R7","Leaf_ITS_F20_R8","Leaf_ITS_F21_R1","Leaf_ITS_F21_R19","Leaf_ITS_F21_R2","Leaf_ITS_F21_R20","Leaf_ITS_F21_R21","Leaf_ITS_F21_R3","Leaf_ITS_F21_R4","Leaf_ITS_F21_R5","Leaf_ITS_F24_R19","Leaf_ITS_F24_R20","Leaf_ITS_F24_R21","Leaf_ITS_F3_R2","Leaf_ITS_F3_R5","Leaf_ITS_F3_R8","Leaf_ITS_F3_R9","Leaf_ITS_F5_R15","Leaf_ITS_F5_R16","Leaf_ITS_F6_R13","Leaf_ITS_F6_R14","Leaf_ITS_F6_R15","Leaf_ITS_F6_R5","Leaf_ITS_F6_R6","Leaf_ITS_F6_R7","Leaf_ITS_F6_R8","Leaf_ITS_F6_R9","Leaf_ITS_F7_R1","Leaf_ITS_F7_R2","Leaf_ITS_F7_R7","Leaf_ITS_F7_R8","Leaf_ITS_F8_R1","Leaf_ITS_F9_R12","Leaf_ITS_F9_R13","Soil_ITS_F10_R12","Soil_ITS_F10_R13","Soil_ITS_F11_R3","Soil_ITS_F11_R4","Soil_ITS_F11_R5","Soil_ITS_F13_R22","Soil_ITS_F13_R23","Soil_ITS_F14_R20","Soil_ITS_F14_R8","Soil_ITS_F15_R3","Soil_ITS_F15_R4","Soil_ITS_F15_R5","Soil_ITS_F15_R6","Soil_ITS_F15_R7","Soil_ITS_F15_R8","Soil_ITS_F16_R1","Soil_ITS_F16_R2","Soil_ITS_F16_R3","Soil_ITS_F16_R4","Soil_ITS_F16_R5","Soil_ITS_F16_R6","Soil_ITS_F16_R7","Soil_ITS_F16_R8","Soil_ITS_F17_R1","Soil_ITS_F17_R2","Soil_ITS_F17_R23","Soil_ITS_F17_R3","Soil_ITS_F17_R4","Soil_ITS_F17_R5","Soil_ITS_F17_R6","Soil_ITS_F17_R7","Soil_ITS_F17_R8","Soil_ITS_F18_R1","Soil_ITS_F18_R2","Soil_ITS_F18_R3","Soil_ITS_F18_R4","Soil_ITS_F18_R5","Soil_ITS_F18_R6","Soil_ITS_F18_R7","Soil_ITS_F18_R8","Soil_ITS_F19_R1","Soil_ITS_F19_R2","Soil_ITS_F19_R3","Soil_ITS_F19_R4","Soil_ITS_F19_R5","Soil_ITS_F19_R6","Soil_ITS_F19_R7","Soil_ITS_F19_R8","Soil_ITS_F2_R13","Soil_ITS_F20_R1","Soil_ITS_F20_R2","Soil_ITS_F20_R24","Soil_ITS_F20_R3","Soil_ITS_F20_R4","Soil_ITS_F20_R5","Soil_ITS_F20_R6","Soil_ITS_F20_R7","Soil_ITS_F20_R8","Soil_ITS_F21_R1","Soil_ITS_F21_R2","Soil_ITS_F21_R21","Soil_ITS_F21_R22","Soil_ITS_F21_R23","Soil_ITS_F21_R3","Soil_ITS_F21_R4","Soil_ITS_F24_R21","Soil_ITS_F24_R22","Soil_ITS_F24_R23","Soil_ITS_F3_R1","Soil_ITS_F3_R11","Soil_ITS_F3_R2","Soil_ITS_F4_R1","Soil_ITS_F4_R2","Soil_ITS_F6_R10","Soil_ITS_F6_R11","Soil_ITS_F6_R15","Soil_ITS_F6_R16","Soil_ITS_F6_R6","Soil_ITS_F6_R7","Soil_ITS_F6_R8","Soil_ITS_F6_R9","Soil_ITS_F7_R1","Soil_ITS_F7_R2","Soil_ITS_F7_R3","Soil_ITS_F7_R8","Soil_ITS_F7_R9","Soil_ITS_F8_R1","Soil_ITS_F8_R2","Soil_ITS_F9_R14","Soil_ITS_F9_R15","Stem_ITS_F10_R10","Stem_ITS_F10_R14","Stem_ITS_F10_R15","Stem_ITS_F10_R9","Stem_ITS_F11_R3","Stem_ITS_F11_R4","Stem_ITS_F11_R5","Stem_ITS_F13_R1","Stem_ITS_F13_R2","Stem_ITS_F14_R17","Stem_ITS_F14_R18","Stem_ITS_F14_R23","Stem_ITS_F15_R3","Stem_ITS_F15_R6","Stem_ITS_F15_R7","Stem_ITS_F15_R8","Stem_ITS_F16_R1","Stem_ITS_F16_R2","Stem_ITS_F16_R4","Stem_ITS_F16_R5","Stem_ITS_F16_R6","Stem_ITS_F16_R7","Stem_ITS_F16_R8","Stem_ITS_F17_R1","Stem_ITS_F17_R2","Stem_ITS_F17_R3","Stem_ITS_F17_R4","Stem_ITS_F17_R5","Stem_ITS_F17_R6","Stem_ITS_F17_R7","Stem_ITS_F17_R8","Stem_ITS_F18_R1","Stem_ITS_F18_R17","Stem_ITS_F18_R2","Stem_ITS_F18_R3","Stem_ITS_F18_R4","Stem_ITS_F18_R5","Stem_ITS_F18_R6","Stem_ITS_F18_R7","Stem_ITS_F18_R8","Stem_ITS_F19_R1","Stem_ITS_F19_R2","Stem_ITS_F19_R3","Stem_ITS_F19_R4","Stem_ITS_F19_R5","Stem_ITS_F19_R6","Stem_ITS_F19_R7","Stem_ITS_F19_R8","Stem_ITS_F2_R14","Stem_ITS_F20_R2","Stem_ITS_F20_R3","Stem_ITS_F20_R4","Stem_ITS_F20_R5","Stem_ITS_F20_R6","Stem_ITS_F20_R7","Stem_ITS_F20_R8","Stem_ITS_F21_R1","Stem_ITS_F21_R19","Stem_ITS_F21_R2","Stem_ITS_F21_R24","Stem_ITS_F21_R3","Stem_ITS_F21_R4","Stem_ITS_F21_R5","Stem_ITS_F21_R6","Stem_ITS_F21_R7","Stem_ITS_F21_R8","Stem_ITS_F22_R1","Stem_ITS_F22_R17","Stem_ITS_F22_R18","Stem_ITS_F24_R24","Stem_ITS_F3_R12","Stem_ITS_F3_R2","Stem_ITS_F3_R3","Stem_ITS_F4_R1","Stem_ITS_F4_R2","Stem_ITS_F6_R11","Stem_ITS_F6_R12","Stem_ITS_F6_R13","Stem_ITS_F6_R6","Stem_ITS_F6_R7","Stem_ITS_F6_R8","Stem_ITS_F7_R1","Stem_ITS_F7_R10","Stem_ITS_F7_R11","Stem_ITS_F7_R2","Stem_ITS_F7_R3","Stem_ITS_F7_R8","Stem_ITS_F7_R9","Stem_ITS_F8_R1","Stem_ITS_F8_R2"
"ASV_1",1462,349,5634,11400,1711,3937,2605,2350,4683,5017,7452,3427,4387,8237,4078,8602,9031,14479,4789,3672,6087,2211,3294,4467,4930,5155,1431,1125,3999,2828,754,4648,4648,2832,3015,2734,4769,4969,3492,5739,5482,2020,3444,1537,3446,4605,4786,3683,5661,4542,5238,7017,4429,1181,3008,3915,7137,2863,2699,3377,2454,2301,976,2300,3721,4667,5028,2451,9422,4515,5089,1441,5812,2885,8251,6754,59682,4062,3895,913,13444,7461,13886,4428,8135,394,1627,1656,6458,3032,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,0,11,63,12,5,0,0,0,0,0,0,0,0,1,0,0,0,5,3,0,0,0,1,0,0,0,1,0,0,0,3,2,0,1,7,2,29,435,325,5536,79,129,107,314,1266,1534,9349,270,134,313,295,1719,594,454,885,223,222,51,72,353,348,34,3405,36,154,44,832,354,13,291,238,644,31,220,259,599,37,74,55,47,155,32,15,39,122,1503,146,296,29,208,19,150,501,864,47,139,177,22,838,125,29,624,213,61,21,1067,42,46,24,100,19,124,273,1580,39,202,74,18,19,30,18,16,202,1268,70,275
"ASV_2",2964,208,6321,4815,3996,407,2806,4120,2347,7588,6016,5168,13808,9008,6503,7388,4613,6665,11270,7268,1347,551,4860,7397,3567,1633,2091,4863,2772,526,619,4363,2139,2760,1934,2177,3027,2013,641,3098,7090,7904,5815,4949,4934,3684,4076,3409,6591,2383,2351,10712,2175,2312,3106,1618,927,711,3218,1695,3021,1072,803,2506,1072,1166,4958,5074,9288,2439,6447,1988,5013,3111,1847,1309,9210,3212,3020,848,1691,5100,3368,2724,14027,369,2235,1468,4841,5739,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,4,0,0,0,1,0,12,8,10,106,12,14,8,41,28,20,2799,76,61,7,69,20,11,15,4,9,16,9,42,16,33,29,38,20,93,27,487,57,0,5,2,2,3,12,9,5,6,16,2,5,16,13,6,4,10,31,29,0,1,2,1,4,322,4,1,5,7,12,3,106,7,41,1,0,0,375,4,3,2,1,1,14,84,200,5,23,23,3,2,1,2,0,2,1,7,7
"ASV_3",82,16,510,3023,3084,913,18,57,524,348,129,77,99,68,62,190,191,147,128,243,7271,16488,170,309,3663,225,164,160,139,904,18108,1258,1843,742,810,109,235,137,5455,479,589,110,71,98,65,429,80,113,149,369,787,68,2535,484,1627,3230,1182,2079,467,318,73,27,173,851,735,292,280,27,162,126,92,170,320,98,55,143,1683,381,132,228,402,707,121,51,30,636,630,669,172,343,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25,1,0,0,1,0,0,0,2,56,0,0,0,0,0,0,0,0,5,0,0,0,0,102,21,0,1,5,0,2,3,1,0,5,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,9,2,2,1,1,4,11,12,363,349,18,3,10,4,3,1,2,41,15,57,5,5,22,159,5,7,2,7,5,7,3,189,183,119,6,4,53,7,1,1,5,7,2,3,8,17,8,2,168,9,195,16,55,25,17,96,108,14,12,51,38,6,13,5,38,40,1,3,2,1,4,2,0,3,11,126,5,15,0,5,1,0,3,0,1,55,0,5,2
"ASV_4",2102,16,2290,1771,2984,685,2135,4746,1339,1739,10075,4110,8111,2919,4525,11569,6279,1171,4496,6068,2893,1244,2113,5471,3250,1501,551,6316,1772,603,245,1124,2112,1128,1364,1273,1568,568,1910,1649,737,513,446,340,365,377,381,592,3140,818,1733,2203,1223,1308,633,1032,503,552,541,518,763,498,13,1055,466,198,5991,4584,7277,876,5710,1454,3101,1244,6458,2695,7211,1137,5359,116,688,5387,7629,2745,3433,11,790,538,5723,5025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,151,12,62,13,12,7,9,4052,27,5,7,17,14,0,4,8,9,27,4,6,280,132,4,3,7,7,8,5,103,0,25,0,3,4,59,6,135,0,1,0,2,0,1,0,33,5,3,1,1,2,1,4,28,5,8,0,174,22,3,61,18,3,8,8,0,0,10,0,0,0,0,0,3,7,2,0,11,9,1,1,1,0,2,3,1,2,19
"ASV_5",214,58,144,1807,359,405,118,1526,1017,163,152,124,806,1407,384,1840,172,359,287,421,2130,169,844,2652,169,430,165,117,193,319,113,280,670,107,57,151,127,448,139,816,2112,324,440,195,1164,966,460,4528,67,488,118,113,336,154,253,451,537,573,97,174,50,267,57,82,260,126,537,776,187,137,1144,246,37,244,624,206,471,126,1465,62,176,1772,717,2448,209,42,284,131,511,165,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,6,78,6,2,10,3,13,862,3902,225,9,40,12,15,7,14,66,20,58,71,23,3,24,8,80,11,4,11,33,15,4,5,2,3,9,14,22,26,1,0,0,2,14,2,3,2,1,112,0,1,0,2,4,3,5,4,0,11,0,1,93,0,5,93,0,1,1,86,0,1,3,0,2,12,2,4,6,18,15,5,8,10,8,5,639,5,9,6
"ASV_6",201,36,1379,3577,1619,581,976,599,1109,1393,1887,3062,1333,1022,1673,797,740,7983,802,781,3297,1477,530,951,1148,1210,429,900,1152,3584,408,1653,635,691,1038,527,1031,951,503,1287,978,404,1024,362,331,830,651,439,491,899,1042,1159,1384,485,672,1476,1177,724,1777,546,443,260,328,599,887,1199,621,258,2079,1573,669,710,4671,355,441,2471,18873,1160,1071,154,4476,1002,968,732,1135,140,528,598,1259,1112,1,0,3,0,0,13,1,0,3,0,0,0,0,2,10,0,0,2,0,0,0,9,3,1,1,2,0,0,0,1,0,5,0,0,0,1,0,1,0,0,1,1,0,3,0,1,4,11,1,1,0,0,1,34,2,1,4,4,23,15,7,14,17,14,11,0,0,1,23,0,2,3,0,0,0,0,0,0,1,0,2,0,0,0,19,0,2,0,0,0,49,1032,1082,1891,175,47,160,309,45,4390,24989,317,251,1604,946,1351,3051,5986,1393,584,1064,532,834,491,3674,586,1298,87,1252,110,254,216,10,580,327,127,55,458,224,333,41,52,49,237,135,720,612,693,48,1708,1814,209,73,272,50,606,670,1157,86,26,230,132,26,193,39,123,17,1,3,1275,36,57,23,54,39,300,344,51,81,228,101,10,158,14,22,18,55,8,80,116
"ASV_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,118,22,17,15,182,2304,26,24,1387,24,33,32,22,30,274,177,238,6159,25193,451,294,189,24,20,31,32,22,17,38,33,27,1,1,6,7,2,9,0,2,48,40,720,36,29,59,67,41,11,96,65,26,86,65,9614,95,107,70,5,2,1,4,7,11,8,7,2073,11,22,6,38,98,85,43,104,124,49,35,370,234,37020,243,178,28248,145,158,21,16,13,11,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
"ASV_8",178,14,263,1767,397,330,46,76,1691,1065,142,49,98,86,894,566,1219,644,267,158,680,83,157,96,141,241,142,49,108,1718,68,360,1051,513,76,426,996,1312,460,1247,311,225,184,34,230,101,141,156,207,766,1001,105,560,162,3266,421,1135,421,514,749,117,647,22,278,130,220,279,208,154,428,216,370,151,42,349,501,2628,172,83,45,649,686,733,551,63,35,127,498,270,119,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,49,10,38,5,1,10,8,14,14,1493,136,18,5,22,965,1,4,431,3,3,7,11,4,1,2,7,0,7,4,29,1,0,31,1,0,0,6,6,7,4,3,2,0,0,17,1,2,2,2,6,1,2,0,4,24,9,43,6,6,2,4,358,2,4,30,9,1,0,47,8,8,7,0,13,5,5,2,1,7,8,0,1,0,0,1,0,1,6,4
"ASV_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4720,218,57,8888,143,19,87,2548,110,2,2,7,11,10,9,14,23,40,25,42,60,103,30,44,79,5986,73,44,1667,13108,483,2388,74,240,106,5298,7737,203,17911,104,10,16,330,14,14,3203,39,15,3,98,121,42,99,136,10385,398,22658,7277,379,82,4102,107,10675,72,54,8,3,14,37,19768,69,7,1308,13,38,19,278,24,75,35,40,14,22,29,28,1953,5593,2700,24,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV_10",1081,34,542,577,47,246,1953,3201,324,677,3599,2047,3832,1073,1038,5447,4556,566,2774,2831,1092,450,1105,1815,1429,425,235,2311,525,96,84,150,577,324,521,468,592,215,600,427,4947,2620,1213,893,4167,3050,2577,512,2825,302,521,1111,354,588,224,588,168,322,241,456,747,200,86,860,280,102,1771,2008,3917,263,1416,94,739,1169,8380,652,2447,262,3853,553,411,4436,2916,1313,1740,48,200,62,2443,3431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,174,2,1,0,17,11,3,1238,17,2,3,19,6,0,3,0,1,0,1,1,2,40,4,3,4,2,4,6,0,0,16,2,0,1,0,1,2,2,1,0,0,11,0,2,0,1,127,3,0,0,1,4,1,20,1616,5,183,8,8,2,7,8,19,0,0,0,201,1,1,1,0,0,7,28,4,2,9,12,2,0,1,0,1,7,1,2,4
